업종명,업소명,소재지도로명,소재지전화번호,객실수
숙박업(일반),동명장 모텔,부산광역시 영도구 남항로 11-6 (남항동1가),051-412-1020,13
숙박업(일반),동아,부산광역시 영도구 대평남로 2 (남항동2가),051-416-5987,8
숙박업(일반),대도,부산광역시 영도구 남항로25번길 13-2 (남항동1가),051-416-5791,17
숙박업(일반),이패션모텔,부산광역시 영도구 남항로31번길 17 (남항동1가),051-416-0338,10
숙박업(일반),남일여인숙,부산광역시 영도구 태종로50번길 45 (대교동1가),051-414-8319,13
숙박업(일반),대영,부산광역시 영도구 태종로310번길 13 (청학동),051-412-0074,7
숙박업(일반),조양장,부산광역시 영도구 태종로 334-1 (청학동),051-416-8000,21
숙박업(일반),항남모텔,부산광역시 영도구 남항서로 129-1 (대교동1가),051-416-8287,11
숙박업(일반),동백모텔,부산광역시 영도구 절영로20번길 8 (대교동1가),051-418-5454,17
숙박업(일반),핑크장,부산광역시 영도구 태종로83번길 16-3 (대교동2가),051-416-3616,19
숙박업(일반),한국모텔,부산광역시 영도구 태종로50번길 41 (대교동1가),051-418-4681,17
숙박업(일반),다담,부산광역시 영도구 남항서로104번길 13 (남항동2가),051-416-2708,14
숙박업(일반),행운모텔,부산광역시 영도구 남항서로 126 (남항동1가),051-418-4560,19
숙박업(일반),아이존모텔,부산광역시 영도구 절영로 52 (남항동1가),051-417-3454,18
숙박업(일반),산해모텔,부산광역시 영도구 동삼로68번길 3 (동삼동),051-403-7805,18
숙박업(일반),M모텔,부산광역시 영도구 하리해안길 6-13 (동삼동),051-403-4397,12
숙박업(일반),청호,부산광역시 영도구 남항로10번길 29 (남항동2가),051-417-7728,10
숙박업(일반),태종파크텔,부산광역시 영도구 태종로 802 (동삼동),051-405-3600,28
숙박업(일반),E 모텔,부산광역시 영도구 절영로35번길 21 (대교동2가),051-412-1151,8
숙박업(일반),태성파크,부산광역시 영도구 절영로36번길 2 (대교동1가),051-413-4567,15
숙박업(일반),럭셔리모텔,부산광역시 영도구 태종로73번길 25 (봉래동1가),051-413-0333,19
숙박업(일반),문화장,부산광역시 영도구 태종로83번길 16 (대교동2가),051-416-7256,19
숙박업(일반),해성장,부산광역시 영도구 산업로 6 (청학동),051-413-2927,21
숙박업(일반),V 모텔 강남,부산광역시 영도구 태종로89번길 3 (대교동2가),051-413-9292,18
숙박업(일반),항구모텔,부산광역시 영도구 절영로50번길 19 (남항동1가),051-412-9757,17
숙박업(일반),첼로모텔,부산광역시 영도구 절영로36번길 4 (대교동1가),051-412-0008,12
숙박업(일반),G2 모텔,부산광역시 영도구 아랫서발길 5 (동삼동),051-405-2500,21
숙박업(일반),희빈장,부산광역시 영도구 절영로29번길 30 (대교동2가),051-416-7979,18
숙박업(일반),우리모텔,부산광역시 영도구 절영로20번길 5 (대교동1가),051-418-5678,15
숙박업(일반),신데렐라,부산광역시 영도구 남항로19번길 49 (대교동2가),051-413-7711,11
숙박업(일반),덕수모텔,부산광역시 영도구 절영로20번길 3 (대교동1가),051-417-3377,14
숙박업(일반),J (제이모텔),부산광역시 영도구 절영로14번길 20 (봉래동1가),051-417-5500,18
숙박업(일반),아란치모텔,부산광역시 영도구 태종로 761 (동삼동),051-405-0463,19
숙박업(일반),큐브모텔,부산광역시 영도구 절영로 37-8 (남항동1가),051-417-6633,13
숙박업(일반),하얀성모텔,부산광역시 영도구 하리해안길 10-13 (동삼동),051-405-3450,23
숙박업(일반),녹원장,부산광역시 영도구 태종로100번길 16 (대교동2가),051-418-3707,15
숙박업(일반),썸모텔,부산광역시 영도구 남항로19번길 38 (남항동1가),051-413-3838,27
숙박업(일반),아마존모텔,부산광역시 영도구 절영로14번길 7 (대교동1가),051-413-7886,19
숙박업(일반),미미장,부산광역시 영도구 태종로83번길 33 (봉래동1가),051-412-1553,16
숙박업(일반),비취모텔,부산광역시 영도구 태종로65번길 6 (대교동1가),,25
숙박업(일반),씨네모텔,부산광역시 영도구 남항로19번길 45 (대교동2가),051-413-7011,15
숙박업(일반),낙원장,부산광역시 영도구 절영로19번길 48 (대교동2가),051-413-0287,12
숙박업(일반),오투모텔,부산광역시 영도구 남항로19번길 43 (대교동2가),051-413-7371,15
숙박업(일반),송원모텔,부산광역시 영도구 절영로14번길 17 (대교동1가),051-416-0600,19
숙박업(일반),이화장,부산광역시 영도구 남항로25번길 13 (남항동1가),051-416-1766,16
숙박업(일반),유성장,부산광역시 영도구 절영로8번길 11 (봉래동1가),051-418-4343,14
숙박업(일반),동남모텔,부산광역시 영도구 절영로101번길 22 (영선동3가),051-416-3618,24
숙박업(일반),원모텔,부산광역시 영도구 남항로19번길 34 (남항동1가),051-417-4333,17
숙박업(일반),이브모텔,부산광역시 영도구 절영로36번길 19 (남항동1가),051-415-1758,16
숙박업(일반),신원모텔,부산광역시 영도구 태종로89번길 13 (대교동2가),051-412-2111,40
숙박업(일반),글랜스호텔,부산광역시 영도구 봉래나루로 56 (봉래동1가),051-418-3845,43
숙박업(일반),비치모텔,부산광역시 영도구 하리해안길 10-9 (동삼동),051-405-3331,29
숙박업(일반),베이 하운드 호텔,부산광역시 영도구 태종로65번길 11 (대교동1가),051-412-4222,69
숙박업(일반),O.K모텔,부산광역시 영도구 절영로19번길 33 (대교동2가),051-414-9111,25
숙박업(일반),호텔 브릿지,부산광역시 영도구 봉래나루로 72 (봉래동1가),051-415-1008,36
숙박업(일반),드림모텔,부산광역시 영도구 태종로99번길 15 (대교동2가),051-413-5544,28
숙박업(일반),우창모텔,부산광역시 영도구 절영로 15-1 (대교동2가),051-416-3400,28
숙박업(일반),지오(Go)모텔,부산광역시 영도구 태종로73번길 11 (대교동1가),051-412-1100,19
숙박업(일반),테마,부산광역시 영도구 태종로99번길 18 (대교동2가),051-413-9693,22
숙박업(일반),브라운도트 영도대교점,부산광역시 영도구 절영로19번길 37 (대교동2가),0507-1320-8857,25
숙박업(일반),나인,부산광역시 영도구 절영로 48-1 (남항동1가),051-412-0483,35
숙박업(일반),블루모텔,부산광역시 영도구 절영로42번길 5 (남항동1가),051-412-9757,23
숙박업(일반),큐 모텔,부산광역시 영도구 해양로 50 (청학동),051-416-0009,33
숙박업(일반),라발스호텔,부산광역시 영도구 봉래나루로 82 (봉래동1가),051-790-1500,380
숙박업(일반),노스하버호텔부산,부산광역시 영도구 태종로 45 (대교동1가),051-414-3333,106
숙박업(일반),그랜드베른호텔,부산광역시 영도구 해양로 38 (청학동),051-414-1300,60
숙박업(일반),아일랜드호텔부산,부산광역시 영도구 태종로 45 (대교동1가),,30
숙박업(일반),미디베일리호텔,부산광역시 영도구 태종로 45 (대교동1가),051-415-5528,125
숙박업(일반),호텔 아델라,부산광역시 영도구 태종로 45 (대교동1가),051-418-8888,65
숙박업(일반),모텔 더 반(The van),부산광역시 영도구 남항서로 115 (남항동1가),051-412-3538,16
숙박업(일반),시타딘커넥트호텔 하리 부산,부산광역시 영도구 동삼오션로 58 (동삼동),051-710-6220,103
숙박업(생활),시프트도어 하리 레지던스,부산광역시 영도구 동삼오션로 58 (동삼동),051-710-6220,160
