업종명,업소명,영업소 주소(도로명),영업소 주소(지번),소재지전화
숙박업(일반),역전,부산광역시 북구 낙동대로1704번길 10 (구포동),부산광역시 북구 구포동 1060-55 ,051-336-2988
숙박업(일반),보림,부산광역시 북구 구포만세길 6 (구포동),부산광역시 북구 구포동 1069-2 ,051-332-1535
숙박업(일반),산해,부산광역시 북구 구포만세길 36-19 (구포동),부산광역시 북구 구포동 1060-254 ,051-331-4488
숙박업(일반),밀양,부산광역시 북구 낙동대로1694번가길 6-1 (구포동),부산광역시 북구 구포동 1060-279 ,051-332-3482
숙박업(일반),청포별장,부산광역시 북구 가람로 6-1 (구포동),부산광역시 북구 구포동 1054-10 ,051-334-5726
숙박업(일반),동원,부산광역시 북구 낙동대로1694번나길 38 (구포동),부산광역시 북구 구포동 1060-78 ,051-338-7804
숙박업(일반),명성,부산광역시 북구 구포만세길 33 (구포동),부산광역시 북구 구포동 1060-375 T통B반 ,051-332-6846
숙박업(일반),유선게스트하우스,부산광역시 북구 낙동대로1582번길 5 (구포동),부산광역시 북구 구포동 1120-6 ,
숙박업(일반),한일,부산광역시 북구 구포시장길 20 (구포동),부산광역시 북구 구포동 589-23 T통B반 ,051-332-6628
숙박업(일반),호림장,부산광역시 북구 만덕대로 46-2 (덕천동),부산광역시 북구 덕천동 384-5 ,051-332-0495
숙박업(일반),브이세븐(V7),부산광역시 북구 낙동대로 1666 (구포동),부산광역시 북구 구포동 1067-12 ,051-335-9991
숙박업(일반),서울,부산광역시 북구 낙동대로 1660-1 (구포동),부산광역시 북구 구포동 1068-11 ,051-332-4640
숙박업(일반),국보장,부산광역시 북구 낙동대로 1780 (구포동),부산광역시 북구 구포동 145-1 ,051-332-6685
숙박업(일반),삼오,부산광역시 북구 낙동대로 1746-10 (구포동),부산광역시 북구 구포동 371-6 ,051-336-3279
숙박업(일반),경수장여관,부산광역시 북구 낙동대로1780번길 14 (구포동),부산광역시 북구 구포동 145-4 T통B반 ,051-332-7479
숙박업(일반),태흥장,부산광역시 북구 낙동북로647번길 10 (구포동),부산광역시 북구 구포동 1050-1 T통B반 ,051-333-4958
숙박업(일반),1박2일,부산광역시 북구 금곡대로7번길 19 (덕천동),부산광역시 북구 덕천동 353-1 ,051-333-5132
숙박업(일반),아림장,부산광역시 북구 약초골목길 23 (구포동),부산광역시 북구 구포동 589-34 ,051-343-8394
숙박업(일반),노블레스,부산광역시 북구 가람로 4 (구포동),부산광역시 북구 구포동 1053-7 ,051-335-3338
숙박업(일반),샤롯데모텔,부산광역시 북구 가람로8번길 8 (구포동),부산광역시 북구 구포동 1054-5 ,051-335-6605
숙박업(일반),녹천장,부산광역시 북구 가람로52번길 4 (구포동),부산광역시 북구 구포동 413-29 T통B반 ,051-334-8377
숙박업(일반),향원장,부산광역시 북구 구포만세길 91 (구포동),부산광역시 북구 구포동 1060-351 T통B반 ,051-341-3130
숙박업(일반),모텔힐링,부산광역시 북구 금곡대로8번길 15 (덕천동),부산광역시 북구 덕천동 396-10 T통B반 ,
숙박업(일반),테크노모텔,부산광역시 북구 가람로 56 (구포동),부산광역시 북구 구포동 410-1 ,051-335-9838
숙박업(일반),상록장,부산광역시 북구 시장갓길 46 (구포동),부산광역시 북구 구포동 614-24 ,051-336-2997
숙박업(일반),대업장,부산광역시 북구 낙동대로1694번나길 33 (구포동),부산광역시 북구 구포동 253-10 ,051-335-6688
숙박업(일반),화목장여관,부산광역시 북구 낙동대로 1768-16 (구포동),부산광역시 북구 구포동 586-8 T통B반 ,051-337-6116
숙박업(일반),창성장,부산광역시 북구 낙동대로1694번가길 3 (구포동),부산광역시 북구 구포동 1060-269 ,051-338-8850
숙박업(일반),덕천에스(S)모텔,부산광역시 북구 덕천1길 81 (덕천동),부산광역시 북구 덕천동 384-29 T통B반 ,051-338-5050
숙박업(일반),백양장,부산광역시 북구 덕천로312번길 10 (만덕동),부산광역시 북구 만덕동 847-5 ,051-331-3227
숙박업(일반),보라장,부산광역시 북구 구포만세길 68 (구포동),부산광역시 북구 구포동 1060-431 432 ,051-336-8700
숙박업(일반),리베라모텔,부산광역시 북구 금곡대로7번길 28 (덕천동),부산광역시 북구 덕천동 351-8 ,051-336-6660
숙박업(일반),로얄,"부산광역시 북구 약초골목길 14 (구포동,1141-28)",부산광역시 북구 구포동 586-9 T통B반 1141-28 ,051-335-6851
숙박업(일반),엠모텔,부산광역시 북구 낙동대로1722번길 17 (구포동),부산광역시 북구 구포동 256-3 ,051-337-3308
숙박업(일반),모란장,부산광역시 북구 낙동대로1722번길 15 (구포동),부산광역시 북구 구포동 256-2 ,051-337-3307
숙박업(일반),울산장,부산광역시 북구 구포만세길 36-23 (구포동),부산광역시 북구 구포동 1060-255 ,051-333-1122
숙박업(일반),초록장,부산광역시 북구 낙동대로1694번나길 41 (구포동),부산광역시 북구 구포동 253-1 T통B반 ,051-337-6014
숙박업(일반),은성장,"부산광역시 북구 낙동북로 651-5, 1층 (구포동)",부산광역시 북구 구포동 1050-6 ,0513-3729-78
숙박업(일반),송림장여관,부산광역시 북구 금곡대로7번길 11 (덕천동),부산광역시 북구 덕천동 353-16 ,051-336-5111
숙박업(일반),덕천모텔,부산광역시 북구 금곡대로8번길 80 (덕천동),부산광역시 북구 덕천동 381-1 ,051-335-1960
숙박업(일반),모텔썸,부산광역시 북구 덕천1길 35 (덕천동),부산광역시 북구 덕천동 401-9 ,051-338-8033
숙박업(일반),세븐모텔,부산광역시 북구 낙동대로 1749 (구포동),부산광역시 북구 구포동 213-3 ,051-337-5689
숙박업(일반),에이유(AU)호텔,부산광역시 북구 금곡대로7번길 38 (덕천동),부산광역시 북구 덕천동 351-5 ,051-337-3535
숙박업(일반),만수장모텔,부산광역시 북구 금곡대로8번길 38 (덕천동),부산광역시 북구 덕천동 398-11 T통B반 ,051-333-3092
숙박업(일반),나인투나인모텔,부산광역시 북구 만덕고개길 86 (만덕동),부산광역시 북구 만덕동 73-4 T통B반 ,051-333-0725
숙박업(일반),프린스모텔,부산광역시 북구 낙동대로1722번길 9 (구포동),부산광역시 북구 구포동 257 ,051-335-2588
숙박업(일반),투헤븐,"부산광역시 북구 만덕고개길 74 (만덕동,외1)",부산광역시 북구 만덕동 73-16 T통B반 외1 ,051-333-8181
숙박업(일반),구포모텔캣츠,부산광역시 북구 낙동대로1694번나길 21 (구포동),부산광역시 북구 구포동 1060-352 ,051-341-9300
숙박업(일반),뉴몽블랑,부산광역시 북구 가람로 40 (구포동),부산광역시 북구 구포동 1060-322 ,051-336-0551
숙박업(일반),영빈장,부산광역시 북구 낙동북로 650 (구포동),부산광역시 북구 구포동 1046 ,051-342-0657
숙박업(일반),피코 키즈풀빌라 부산,부산광역시 북구 구만덕로80번길 4 (만덕동),부산광역시 북구 만덕동 51-9 ,051-332-3838
숙박업(일반),더 젠틀 호텔,부산광역시 북구 만덕고개길 72 (만덕동),부산광역시 북구 만덕동 74-4 ,051-341-4560
숙박업(일반),이데아,부산광역시 북구 구포만세길 143 (구포동),부산광역시 북구 구포동 297-8 ,051-336-6985
숙박업(일반),서전별장,부산광역시 북구 낙동대로1694번나길 44 (구포동),부산광역시 북구 구포동 255-3 ,
숙박업(일반),코코모텔,부산광역시 북구 금곡대로8번길 83 (덕천동),부산광역시 북구 덕천동 355-3 ,051-343-4121
숙박업(일반),덴바스타 료칸 만덕점,부산광역시 북구 만덕고개길 72-1 (만덕동),부산광역시 북구 만덕동 74-5 ,051-343-2777
숙박업(일반),브라운도트호텔(화명점),부산광역시 북구 금곡대로303번길 89 (화명동),부산광역시 북구 화명동 2270-1 ,051-363-8999
숙박업(일반),브리즈호텔,부산광역시 북구 금곡대로285번길 84 (화명동),부산광역시 북구 화명동 2274-5 ,051-363-4694
숙박업(일반),비앤비(B&B)호텔,부산광역시 북구 금곡대로285번길 78 (화명동),부산광역시 북구 화명동 2274-6 ,051-332-2111
숙박업(일반),호텔 런더너,부산광역시 북구 금곡대로303번길 85 (화명동),부산광역시 북구 화명동 2270-2 ,051-331-7269
숙박업(일반),힐스테이호텔,부산광역시 북구 만덕고개길 83 (만덕동),부산광역시 북구 만덕동 73-14 ,051-331-1641
숙박업(일반),그린모텔,부산광역시 북구 낙동대로1762번길 13 (구포동),부산광역시 북구 구포동 526-1 ,051-341-5540
숙박업(일반),엠유(MU),부산광역시 북구 가람로 54 (구포동),부산광역시 북구 구포동 410-7 ,051-337-3025
숙박업(일반),쇼(SHOW)호텔,부산광역시 북구 낙동대로1762번길 17 (구포동),부산광역시 북구 구포동 528-1 ,051-361-8383
숙박업(일반),덴바스타호텔,부산광역시 북구 금곡대로303번길 91 (화명동),부산광역시 북구 화명동 2270-1 ,051-363-6565
숙박업(일반),그레이,부산광역시 북구 금곡대로285번길 88 (화명동),부산광역시 북구 화명동 2274-5 ,051-364-4504
숙박업(일반),스카이모텔,부산광역시 북구 금곡대로7번길 17 (덕천동),부산광역시 북구 덕천동 353-2 ,051-365-0806
숙박업(일반),스카이모텔,부산광역시 북구 금곡대로285번길 62 (화명동),부산광역시 북구 화명동 2275-5 ,051-331-4610
숙박업(일반),엘리스모텔,부산광역시 북구 낙동대로 1666-1 (구포동),부산광역시 북구 구포동 1067-11 ,051-336-6673
숙박업(일반),주식회사 덴바스타호텔덕천점,부산광역시 북구 만덕대로66번길 4 (덕천동),부산광역시 북구 덕천동 385-22 ,051-925-7725
숙박업(일반),브라운도트호텔 만덕점,"부산광역시 북구 만덕고개길 70, 브라운도트호텔 (만덕동)",부산광역시 북구 만덕동 73-17 브라운도트호텔 ,051-337-9947
숙박업(일반),티파니,부산광역시 북구 낙동대로1781번길 9 (덕천동),부산광역시 북구 덕천동 352-4 ,051-333-3521
숙박업(일반),경남장여관,부산광역시 북구 가람로 50 (구포동),부산광역시 북구 구포동 413-31 ,051-333-4685
숙박업(일반),투헤븐호텔,부산광역시 북구 낙동대로 1779-8 (덕천동),부산광역시 북구 덕천동 352-6 ,051-334-3757
숙박업(일반),아몬드호텔,부산광역시 북구 구포만세길 53 (구포동),부산광역시 북구 구포동 1060-259 ,051-365-1833
숙박업(일반),에이치에비뉴,부산광역시 북구 금곡대로285번길 68 (화명동),부산광역시 북구 화명동 2275-4 ,051-331-9919
숙박업(일반),호텔 메르시,부산광역시 북구 금곡대로285번길 72 (화명동),부산광역시 북구 화명동 2275-4 ,051-334-9997
숙박업(일반),부산여인숙,부산광역시 북구 낙동대로1694번가길 5 (구포동),부산광역시 북구 구포동 1060-343 ,051-333-1260
숙박업(일반),백한여인숙,부산광역시 북구 낙동대로 1708 (구포동),부산광역시 북구 구포동 1060-408 ,051-336-2420
숙박업(일반),브라운도트호텔,부산광역시 북구 낙동대로1762번길 27 (구포동),부산광역시 북구 구포동 481 ,051-332-3050
숙박업(일반),매직모텔,부산광역시 북구 금곡대로8번길 5 (덕천동),부산광역시 북구 덕천동 396-7 ,051-363-3832
숙박업(일반),모텔엠브이지,부산광역시 북구 만덕고개길 72-2 (만덕동),부산광역시 북구 만덕동 74-16 ,051-342-0365
숙박업(일반),주식회사 덴바스타포레스트호텔,부산광역시 북구 만덕고개길 72-3 (만덕동),부산광역시 북구 만덕동 73-34 ,051-333-1865
숙박업(일반),유진모텔,부산광역시 북구 만덕고개길 67 (만덕동),부산광역시 북구 만덕동 73-18 ,051-334-9947
숙박업(일반),그림모텔,부산광역시 북구 금곡대로8번길 19 (덕천동),부산광역시 북구 덕천동 396-5 ,051-332-1118
숙박업(일반),와우(WOW),부산광역시 북구 낙동대로1739번길 12 (구포동),부산광역시 북구 구포동 211-3 외 1필지 ,051-333-5003
숙박업(일반),브이모텔,부산광역시 북구 낙동대로1762번길 21 (구포동),부산광역시 북구 구포동 530 ,051-343-0133
숙박업(일반),A(에이)모텔,부산광역시 북구 낙동대로 1664 (구포동),부산광역시 북구 구포동 1067-19 ,051-321-1220
숙박업(일반),지모텔,부산광역시 북구 낙동대로1762번길 11 (구포동),부산광역시 북구 구포동 518 ,051-332-3400
숙박업(일반),엠유(MU),부산광역시 북구 금곡대로303번길 81 (화명동),부산광역시 북구 화명동 2270-2 ,051-363-2666
숙박업(일반),덴바스타 키즈호텔,부산광역시 북구 낙동대로1739번길 10 (구포동),부산광역시 북구 구포동 211-7 ,051-337-9898
숙박업(일반),용궁장,부산광역시 북구 낙동대로1694번나길 35 (구포동),부산광역시 북구 구포동 253-6 ,051-337-8382
숙박업(일반),아바호텔,부산광역시 북구 화명대로 6 (화명동),부산광역시 북구 화명동 2274-2 ,051-365-7715
숙박업(일반),브라운도트호텔 덕천점,부산광역시 북구 금곡대로8번길 20 (덕천동),부산광역시 북구 덕천동 399-17 ,
숙박업(일반),본호텔,"부산광역시 북구 낙동대로 1746-8, 바르도호텔 (구포동)",부산광역시 북구 구포동 365-2 바르도호텔 ,051-338-1128
숙박업(일반),티티호텔 구포,부산광역시 북구 낙동대로 1684 (구포동),부산광역시 북구 구포동 1060-262 ,
숙박업(생활),제이아이모텔,부산광역시 북구 낙동대로1570번가길 11 (구포동),부산광역시 북구 구포동 1184-18 ,051-301-3061
숙박업(생활),대림장,부산광역시 북구 덕천로304번길 13 (만덕동),부산광역시 북구 만덕동 846-4 ,
